Date,Open,High,Low,Close,Adj Close,Volume
14-09-2020,1450,1544.25,1446.599976,1541.349976,1518.186279,112778
15-09-2020,1541.900024,1586.900024,1539.949951,1575.75,1552.069214,46674
16-09-2020,1577,1598.050049,1552.25,1582.949951,1559.161011,49824
17-09-2020,1582.949951,1608.849976,1569.050049,1585.900024,1562.06665,40580
18-09-2020,1585,1607.949951,1549.25,1556.349976,1532.960693,203206
21-09-2020,1581,1581,1515.550049,1530.25,1507.253052,83393
22-09-2020,1522.099976,1535,1495,1503.949951,1481.348145,97739
23-09-2020,1512,1521.75,1485,1500.800049,1478.245605,40330
24-09-2020,1485,1508,1471.5,1480.099976,1457.856689,18717
25-09-2020,1490,1508.900024,1460.449951,1500.099976,1477.556152,79809
28-09-2020,1520,1550.75,1502.25,1534.650024,1511.586914,26124
29-09-2020,1539,1550,1502,1522.199951,1499.323975,55561
30-09-2020,1550,1565,1505,1506.849976,1484.20459,47317
01-10-2020,1517,1559.949951,1517,1530.599976,1507.597656,19063
05-10-2020,1546,1578,1539.349976,1548.449951,1525.179443,16934
06-10-2020,1569,1580,1535.050049,1563.25,1539.75708,62808
07-10-2020,1571.099976,1638,1550.300049,1583.900024,1560.096802,133785
08-10-2020,1595,1616.900024,1573.150024,1587.599976,1563.741211,135612
09-10-2020,1605.150024,1665,1604.949951,1645.150024,1620.426392,322189
12-10-2020,1668,1686,1640,1654.5,1629.635742,153042
13-10-2020,1660,1725,1660,1708.099976,1682.430298,188048
14-10-2020,1724.800049,1739.050049,1675,1730.949951,1704.936768,87561
15-10-2020,1715.050049,1750,1711.25,1723.050049,1697.155762,104133
16-10-2020,1730,1769,1710.050049,1755.599976,1729.216431,113243
19-10-2020,1760,1823.650024,1760,1798,1770.979248,210139
20-10-2020,1795,1947.650024,1770.900024,1882.800049,1854.504883,247287
21-10-2020,1884.800049,1974,1858,1944.849976,1915.622314,191255
22-10-2020,1944.849976,1953,1894.550049,1908.150024,1879.473877,82453
23-10-2020,1910,1934.900024,1878.849976,1890.550049,1862.138306,79416
26-10-2020,1909.900024,1920,1848.550049,1892.449951,1864.009766,50182
27-10-2020,1900,1908.300049,1855,1886.199951,1857.853638,58363
28-10-2020,1897.199951,1900,1875.25,1892.300049,1863.862183,37586
29-10-2020,1886.949951,1928,1853.099976,1892,1863.56665,77693
30-10-2020,1885.900024,1890.5,1822.099976,1851.400024,1823.576782,54851
02-11-2020,1851.400024,1867.849976,1775,1810.349976,1783.143555,56413
03-11-2020,1828,1859,1815,1840.949951,1813.283691,41453
04-11-2020,1859,1900,1790.050049,1870.650024,1842.537476,64732
05-11-2020,1892,1914,1832.849976,1863.300049,1835.297974,45350
06-11-2020,1870,1910,1857.050049,1874.599976,1846.428101,53576
09-11-2020,1890.25,1920.949951,1875,1907.650024,1878.981445,135310
10-11-2020,1969,2000.449951,1831.699951,1867.650024,1839.58252,330079
11-11-2020,1868,1882.599976,1842.599976,1856.050049,1828.156982,79619
